grid_id,poi_density,cluster
288,7.81394444184189,0
289,20.840282526294548,0
290,6.513556600304607,0
291,2.6058101203312876,1
292,0.0,1
293,0.0,1
294,0.0,1
295,0.0,1
296,0.0,1
297,0.0,1
298,0.0,1
299,0.0,1
300,0.0,1
301,0.0,1
302,2.5984746138688726,1
303,3.898288941249558,0
304,0.0,1
305,0.0,1
306,0.0,1
307,3.9005993520493067,0
308,10.40314009942865,0
309,3.9017559556354287,0
310,0.0,1
311,0.0,1
312,0.0,1
313,3.9040719614730284,0
314,1.3015505154361167,1
315,1.3017437882068086,1
316,84.62591402326048,3
317,9.114913971031216,0
318,0.0,1
319,6.512588289483226,0
320,5.210845280253396,0
321,5.211620240669051,0
322,0.0,1
323,0.0,1
324,0.0,1
325,0.0,1
326,0.0,1
327,0.0,1
328,0.0,1
329,0.0,1
330,0.0,1
331,0.0,1
332,0.0,1
333,3.898288941244727,0
334,0.0,1
335,0.0,1
336,0.0,1
337,22.103396328252,0
338,37.71138286031194,0
339,11.705267866899026,0
340,0.0,1
341,0.0,1
342,3.9034926100316367,0
343,1.3013573204885869,1
344,5.206202061738005,0
345,5.206975152814306,0
346,2.6038742776339343,1
347,1.3021305672893653,1
348,0.0,1
349,0.0,1
350,0.0,1
351,0.0,1
352,0.0,1
353,0.0,1
354,0.0,1
355,0.0,1
356,0.0,1
357,0.0,1
358,0.0,1
359,0.0,1
360,0.0,1
361,0.0,1
362,0.0,1
363,0.0,1
364,0.0,1
365,0.0,1
366,0.0,1
367,19.502996760222352,0
368,0.0,1
369,15.607023822532035,0
370,0.0,1
371,91.06798147871605,3
372,121.00827091098074,3
373,22.123074448305978,0
374,11.713954638910511,0
375,111.94996578550759,3
376,5.207748555267869,0
377,0.0,1
378,0.0,1
379,0.0,1
380,19.54066980091382,0
381,0.0,1
382,0.0,1
383,0.0,1
384,0.0,1
385,0.0,1
386,0.0,1
387,0.0,1
388,0.0,1
389,0.0,1
390,0.0,1
391,0.0,1
392,0.0,1
393,0.0,1
394,0.0,1
395,0.0,1
396,0.0,1
397,2.600399568029647,1
398,2.6007850248491,1
399,14.3064385039877,0
400,24.71478584544958,0
401,26.019423279633155,0
402,16.915134643470427,0
403,36.438004973680435,0
404,14.317055669779513,0
405,270.76270794634394,2
406,9.11355997171877,0
407,0.0,1
408,0.0,1
409,0.0,1
410,0.0,1
411,0.0,1
412,0.0,1
413,0.0,1
414,0.0,1
415,0.0,1
416,0.0,1
417,0.0,1
418,0.0,1
419,0.0,1
420,0.0,1
421,0.0,1
422,0.0,1
423,0.0,1
424,0.0,1
425,0.0,1
426,0.0,1
427,0.0,1
428,0.0,1
429,0.0,1
430,10.406225619136665,0
431,18.21359629574321,0
432,14.312806236782668,0
433,16.91764516635163,0
434,19.523257731517518,0
435,10.413950305628612,0
436,13.01937138816967,0
437,1.3021305672893653,1
438,2.60464814728063,1
439,7.815105947360456,0
440,0.0,1
441,0.0,1
442,0.0,1
443,0.0,1
444,0.0,1
445,0.0,1
446,0.0,1
447,0.0,1
448,0.0,1
449,0.0,1
450,0.0,1
451,0.0,1
452,0.0,1
453,0.0,1
454,0.0,1
455,0.0,1
456,0.0,1
457,0.0,1
458,0.0,1
459,0.0,1
460,1.300778202392083,1
461,1.3009711639816577,1
462,70.26286698056947,3
463,18.219002486840218,0
464,63.77597525629056,3
465,24.733131975867956,0
466,9.11355997171877,0
467,72.91931176820445,3
468,1.302324073640315,1
469,6.512588289467047,0
470,6.513556600304607,0
471,0.0,1
472,0.0,1
473,0.0,1
474,0.0,1
475,0.0,1
476,0.0,1
477,0.0,1
478,0.0,1
479,0.0,1
480,0.0,1
481,0.0,1
482,0.0,1
483,0.0,1
484,0.0,1
485,0.0,1
486,0.0,1
487,0.0,1
488,0.0,1
489,0.0,1
490,0.0,1
491,0.0,1
492,22.119791456900835,0
493,106.71130028026278,3
494,22.126358762413986,0
495,14.319181670274896,0
496,22.13293135992966,0
497,16.927697374772258,0
498,3.9069722209257973,0
499,66.4284005527289,3
500,6.513556600316746,0
501,1.3029050601672627,1
502,6.515494391147836,0
503,0.0,1
504,0.0,1
505,0.0,1
506,0.0,1
507,0.0,1
508,0.0,1
509,0.0,1
510,0.0,1
511,0.0,1
512,0.0,1
513,0.0,1
514,0.0,1
515,0.0,1
516,0.0,1
517,0.0,1
518,0.0,1
519,0.0,1
520,0.0,1
521,15.611653967779894,0
522,28.625612473565337,0
523,15.616287845863043,0
524,3.9046515463035036,0
525,1.3017437882035765,1
526,5.207748555267869,0
527,3.906391701868096,0
528,13.02324073640315,0
529,36.47049442101546,0
530,112.03317352523925,3
531,125.0788857759018,3
